id,title,language,author
1,"The Declaration of Independence","English", 
2,"The King James Bible","English", 
3,"The Complete Works of William Shakespeare","English","William Shakespeare"
4,"The Magna Carta","English","Anonymous"
5,"Apocolocyntosis","English","Lucius Seneca"
6,"The House on the Borderland","English","William Hope Hodgson"
7,"My First Years As A Frenchwoman  1876 1879","English","Mary King Waddington"
8,"The Warriors","English","Lindsay  Anna Robertson Brown"
9,"A Voyage to the Moon","English","George Tucker"
10,"La Fiammetta","English","Giovanni Boccaccio"
11,"Carmilla","English","J  Sheridan LeFanu"
12,"The Mystery","English","Stewart Edward White and Samuel Hopkins Adams"
13,"Wild Northern Scenes","English","S  H  Hammond"
14,"Divine Comedy  Longfellow s Translation  Hell","English","Dante Alighieri"
15,"The Eulogies of Howard","English","William Hayley"
16,"365 Foreign Dishes","English","Unknown"
17,"The Mountains of California","English","John Muir"
18,"Punchinello  Vol  1  No  9  May 28  1870","English","Various"
19,"Punchinello  Vol  1  No  18  July 30  1870","English","Various"
20,"Punchinello  Vol  1  No  19  August 6  1870","English","Various"
21,"Punchinello Vol  1  No  21  August 20  1870","English","Various"
22,"Punchinello  Vol  1  No  23   September 3  1870","English","Various"
23,"Punchinello  Vol  1  No  5   April 30  1870","English","Various"
24,"Punchinello  Vol  1  No  22  August 27  1870","English","Various"
25, , , 
26,"The Strand Magazine: Volume VII  Issue 37  January  1894 ","English","Edited by George Newnes"
27,"Tenterhooks","English","Ada Leverson"
28,"There s Pippins And Cheese To Come","English","Charles S  Brooks"
29,"Beneath the Banner","English","F  J  Cross"
30,"Gaslight Sonatas","English","Fannie  Hurst"
31,"The Mirror of Literature  Amusement  and Instruction  Vol  10 ","English"," Various"
32,"The Triple Alliance","English","Harold Avery"
33,"Spalding s Official Baseball Guide   1913","English", 
34,"The Hunt Ball Mystery","English","Magnay  William"
35, , , 
36,"The Life of Hon  William F  Cody","English","William F  Cody"
37,"Edgar Allan Poe s Complete Poetical Works","English","Edgar Allan Poe"
38,"Punchinello  Vol  1  No  24  September 10  1870","English","Various"
39,"Punchinello  Vol  1  No  25  September 17  1870","English","Various"
40,"Punchinello  Vol  1  No  26  September 24  1870","English","Various"
41,"Punchinello  Vol  2  No  27  October 1  1870","English","Various"
42,"Punchinello Vol  2  No  28  October 8  1870","English","Various"
43,"A Beautiful Possibility","English","Edith Ferguson Black"
44,"The Magnetic North","English","Elizabeth Robins  C  E  Raimond "
45,"The Works of Aphra Behn  Vol  III","English","Aphra Behn"
46, , , 
47,"Alaska Indian Dictionary","an Indian Language: As Spoken By The Oogashik, Egashik, Egegik,","Charles A  Lee"
48,"The Rivet in Grandfather s Neck","English","James Branch Cabell"
49,"The Child Under Eight","English","E R  Murray and Henrietta Brown Smith"
50,"Klondyke Nuggets","English","Joseph Ladue"
51,"Dave Darrin s Second Year at Annapolis","English","H  Irving Hancock"
52,"Salute to Adventurers","English","John Buchan"
53,"Punchinello  Vol  2  No  29  October 15  1870","English","Various"
54,"Billie Bradley and Her Inheritance","English","Janet D  Wheeler"
55,"Old Lady Mary","English","Margaret O   Wilson  Oliphant"
56,"Hell","English","Dante Alighieri"
57,"A Little Pilgrim","English","Margaret O   Wilson  Oliphant"
58,"The Little Pilgrim: Further Experiences ","English","Margaret O   Wilson  Oliphant"
59,"The Open Door  and the Portrait ","English","Margaret O   Wilson  Oliphant"
60,"Chinese Literature","English","Anonymous"
61,"Aunt Jane s Nieces on Vacation","English","Edith Van Dyne"
62,"The Divine Comedy of Dante:  Purgatory","English","Dante Alighieri"
63,"Discourses","English","Thomas H  Huxley"
64,"The Iron Game","English","Henry Francis Keenan"
65,"Happiness and Marriage","English","Elizabeth  Jones  Towne"
66,"Beltane The Smith","English","Jeffery Farnol"
67,"The Constitution of the United States","English","James M  Beck"
68,"The Mystery Of The Boule Cabinet","English","Burton Egbert Stevenson"
69,"The Power and the Glory","English","Grace MacGowan Cooke"
70,"Account of the Romansh Language","English","Joseph Planta  Esq  F  R  S "
71,"The Divine Comedy of Dante:  Paradise","English","Dante Alighieri"
72,"Stories of Great Americans for Little Americans","English","Edward Eggleston"
73,"By Ways of Bombay","English","S  M  Edwardes  C V O "
74,"English Housewifery Exemplified","English","Elizabeth Moxon"
75,"The Century Vocabulary Builder","English","Creever   Bachelor"
76,"The Mirror of Literature  Amusement  and Instruction  Vol  10 ","English","Various"
77,"A Narrative of the Life and Adventures of Venture  a Native of","English","Venture Smith"
78,"Lister s Great Adventure","English","Harold Bindloss"
79,"The Atlantic Monthly  Volume 10  Number 60  October 1862","English","Various"
80,"Plain Words From America","English","Douglas W  Johnson"
81,"The Atlantic Monthly  Volume 2  Number 9  July  1858","English","Various"
82, , , 
83,"Mobilizing Woman Power","English","Harriot Stanton Blatch"
84,"The Boy Allies at Jutland","English","Robert L  Drake"
85,"The Hampstead Mystery","English","John R  Watson"
86,"The House of the Whispering Pines","English","Anna Katharine Green"
87,"Kazan","English","James Oliver Curwood"
88,"The Minute Boys of the Mohawk Valley","English","James Otis"
89,"Old Lady Number 31","English","Louise Forsslund"
90,"Thaumaturgia","English","An Oxonian"
91,"Elves and Heroes","English","Donald A  MacKenzie"
92,"Peaceless Europe","English","Francesco Saverio Nitti"
93,"Gutta Percha Willie","English","George MacDonald"
94,"A Soldier of Virginia ","English","Burton Egbert Stevenson"
95,"The Twilight of the Gods  and Other Tales","English","Richard Garnett"
96,"Hacker Crackdown","English","Bruce Sterling"
97,"Byron","English","John Nichol"
98,"Punchinello  Vol  2   No  32   November 5  1870","English","Various"
99,"A Treatise Of Daunses","English","Anonymous"
100,"The Unspeakable Gentleman ","English","John P  Marquand"
