id,name,latitude,longitude
1,A Coruna,-8.396,43.37135,
2,A Estrada,-8.48842,42.68911,
3,Aabenraa,9.41741,55.04434,
4,Aachen,6.08342,50.77664,
5,Aalborg,9.9187,57.048,
6,Aalen,10.0933,48.83777,
7,Aalsmeer,4.75972,52.25917,
8,Aalst,4.0355,50.93604,
9,Aalten,6.58056,51.925,
10,Aalter,3.44693,51.09017,
11,Aarau,8.04422,47.39254,
12,Aarschot,4.83695,50.98715,
13,Aba,7.36667,5.10658,
14,Abadan,48.3043,30.3392,
15,Abadan,58.19721,38.05415,
16,Abadeh,52.6506,31.1608,
17,Abaete,-45.44583,-19.16,
18,Abaetetuba,-48.8825,-1.71806,
19,Abakaliki,8.11368,6.32485,
20,Abakan,91.42917,53.71556,
21,Abancay,-72.88139,-13.63389,
22,Abano Terme,11.78725,45.35753,
23,Abashiri,144.26971,44.02127,
24,Abasolo,-101.53073,20.44997,
25,Abay,72.86164,49.63575,
26,Abaza,90.09278,52.655,
27,Abbeville,1.83333,50.1,
28,Abbiategrasso,8.91678,45.39821,
29,Abbotsford,-122.25257,49.05798,
30,Abbottabad,73.21168,34.1463,
31,Abdanan,47.4198,32.9926,
32,Abdulino,53.66667,53.7,
33,Abeche,20.8324,13.82916,
34,Abengourou,-3.49639,6.72972,
35,Abeokuta,3.34509,7.15571,
36,Abepura,140.6324,-2.5964,
37,Aberdare,-3.44918,51.71438,
38,Aberdeen,-2.09814,57.14369,
39,Aberdeen,-76.16412,39.50956,
40,Aberdeen,-98.48648,45.4647,
41,Aberdeen,-123.81572,46.97537,
42,Abergele,-3.5822,53.28436,
43,Aberystwyth,-4.08292,52.41548,
44,Abha,42.50528,18.21639,
45,Abhar,49.218,36.1468,
46,Abhayapuri,90.68526,26.32255,
47,Abidjan,-4.01266,5.30966,
48,Abidos,-55.51806,-1.9175,
49,Abiko,140.01667,35.86667,
50,Abilene,-99.73314,32.44874,
51,Abingdon,-1.28278,51.67109,
52,Abington,-70.94532,42.10482,
53,Abinsk,38.15728,44.86803,
54,Abnub,31.15105,27.2696,
55,Abobo,-4.0159,5.41613,
56,Abohar,74.19552,30.14453,
57,Aboisso,-3.20711,5.46779,
58,Abomey,1.99119,7.18286,
59,Abomey-Calavi,2.35566,6.44852,
60,Abomsa,39.98333,9.98333,
61,Abony,20.00476,47.1899,
62,Abou el Hassan,1.19616,36.41657,
63,Abovyan,44.63348,40.27368,
64,Abqaiq,49.67761,25.9371,
65,Abrama,72.90648,20.85865,
66,Abreu e Lima,-34.90278,-7.91167,
67,Abreus,-80.56931,22.27797,
68,Abu,72.71756,24.59365,
69,Abu al Matamir,30.17438,30.91018,
70,Abu Dhabi,54.36667,24.46667,
71,Abu Ghurayb,44.18477,33.30563,
72,Abu Jibeha,31.2285,11.4562,
73,Abu Kabir,31.67148,30.72508,
74,Abu Qurqas,30.83841,27.9312,
75,Abu Road,72.78186,24.48012,
76,Abu Tij,31.31897,27.04411,
77,Abu Zabad,29.25,12.35,
78,Abucay,120.53358,14.73347,
79,Abuja,7.49508,9.05785,
80,Aburi,-0.17449,5.84802,
81,Abuyog,125.0107,10.747,
82,Abyek,50.55,36.06667,
83,Acacias,-73.75797,3.98695,
84,Acajete,-97.95231,19.11154,
85,Acajutla,-89.8275,13.59278,
86,Acambaro,-100.72249,20.03024,
87,Acaponeta,-105.36369,22.49396,
88,Acapulco de Juarez,-99.8901,16.86336,
89,Acarau,-40.12,-2.88556,
90,Acarigua,-69.19564,9.55451,
91,Acatlan de Osorio,-98.04864,18.2025,
92,Acatzingo,-97.78363,18.98196,
93,Acayucan,-94.91386,17.94979,
94,Accra,-0.1969,5.55602,
95,Accrington,-2.35863,53.75379,
96,Acerra,14.3714,40.94477,
97,Achalpur,77.51006,21.25665,
98,Acharnes,23.73333,38.08333,
99,Acheng,126.97703,45.54545,
100,Acheres,2.06882,48.96115,
101,Achern,8.07607,48.63115,
102,Achhnera,77.75674,27.17826,
103,Achiaman,-0.33333,5.7,
104,Achim,9.0263,53.01416,
105,Achinsk,90.4993,56.2694,
106,Achkhoy-Martan,45.28373,43.18997,
107,Aci Castello,15.14535,37.55564,
108,Aci Catena,15.14165,37.60614,
109,Acilia-Castel Fusano-Ostia Antica,12.33078,41.76337,
110,Acireale,15.16577,37.60886,
111,Acocks Green,-1.81667,52.45,
112,Acopiara,-39.4525,-6.09528,
113,Acquaviva delle Fonti,16.8433,40.89704,
114,Acqui Terme,8.46934,44.67552,
115,Acton,-0.2762,51.50901,
116,Acton,-71.43284,42.48509,
117,Actopan,-98.94377,20.26961,
118,Acu,-36.90861,-5.57667,
119,Acworth,-84.67837,34.06635,
120,Ad Dana,36.76978,36.21252,
121,Ad Darbasiyah,40.65199,37.07279,
122,Ad Dasmah,48.00139,29.365,
123,Ad Dawadimi,44.39237,24.50772,
124,Ad Dilam,47.16181,23.99104,
125,Ad Dilinjat,30.53633,30.82791,
126,Ad Dindar,34.16667,13.2,
127,Ad Diwaniyah,44.92552,31.99289,
128,Ad Douiem,32.3116,14.0012,
129,Ad Dujayl,44.23444,33.84667,
130,Ad-Damazin,34.3592,11.7891,
131,Ada,-96.67834,34.77453,
132,Adam,57.52334,22.3756,
133,Adamantina,-51.0725,-21.68528,
134,Adampur,75.71484,31.43224,
135,Adamstown,-130.10147,-25.06597,
136,Adana,35.32889,37.00167,
137,Adapazari,30.40333,40.78056,
